,ProductionType,ForcedTime,PlannedTime,RunningTime
0,Biomass ,4.375219604195731,23.912048267326732,68.94603264500014
1,Fossil Brown coal/Lignite ,26.164455917394758,56.765383131575376,272.80548099817554
2,Fossil Coal-derived gas ,77.41788432267884,135.74974068835456,360.2951941747573
3,Fossil Gas ,24.292741717767743,54.115931159069646,321.28617398394914
4,Fossil Hard coal ,29.02153734664298,69.21550994037334,246.7073146896577
5,Fossil Oil ,46.139201877934276,288.93317636986296,913.5469979296066
6,Fossil Oil shale ,84.1827817178881,286.35773333333333,404.47462356067314
7,Fossil Peat ,17.276428824991125,376.4037037037037,377.8551844119694
8,Geothermal ,,345.995,5531.5041666666675
9,Hydro Pumped Storage ,22.217710776525184,58.82368153125637,299.9495207927226
10,Hydro Run-of-river and poundage ,21.750212765957443,75.62913950456324,630.659627039627
11,Hydro Water Reservoir ,39.156965440016286,76.69242912840694,714.1208569628229
12,Nuclear ,8.092826187740624,36.431286783160004,255.94841250581408
13,Other ,38.266312997347484,644.5064952192549,1388.5939762290652
14,Solar ,30.79074074074074,15.280395136778116,2685.8285947712425
15,Waste ,552.0,138.1875,1496.3513513513512
16,Wind Offshore ,121.01429418742585,55.92850421000495,1195.3778625954199
17,Wind Onshore ,25.011630695443642,73.63376777251185,920.1400802334063
